age,sleep_hours,sleep_quality,stress_level,mood_rating,physical_activity,exercise_frequency,screen_time,study_hours,social_interaction,anxiety_level,satisfaction,risk
63,7.2,2,5,8,Low,3,5.9,8.3,6,10,9,Low Risk
38,5.9,5,9,3,Moderate,0,5.7,8.4,2,6,10,Low Risk
59,7.5,7,6,10,Moderate,2,1.5,9.1,4,9,4,Low Risk
49,6.1,2,1,2,Moderate,4,5.3,6.1,10,4,7,Low Risk
54,6.2,4,1,5,Moderate,1,4.2,6.9,10,3,10,Low Risk
53,8.7,4,5,4,Low,0,3.1,6.9,2,3,1,Low Risk
26,5.3,7,5,7,Low,5,8.4,10.4,2,6,4,Low Risk
34,3.4,4,9,7,Moderate,3,6.5,1.3,7,8,8,Low Risk
39,9.1,5,6,10,High,1,5.4,5.1,5,6,5,Low Risk
40,10.0,3,8,8,Low,5,4.4,7.0,5,3,8,Low Risk
19,6.2,8,6,3,Moderate,6,6.1,4.8,9,10,5,Low Risk
43,4.1,2,4,3,Low,0,7.5,6.5,10,6,1,Low Risk
24,6.4,3,7,9,Low,1,3.8,6.7,10,4,5,Low Risk
52,6.4,3,7,5,Moderate,2,5.5,5.7,8,1,5,Low Risk
49,6.5,10,8,1,Low,5,7.2,7.1,10,6,9,Low Risk
61,5.2,10,2,9,Moderate,0,1.6,8.3,8,7,2,Low Risk
52,7.6,6,7,7,Moderate,6,5.4,6.5,9,10,2,Low Risk
34,7.5,2,3,1,Low,2,4.6,6.1,6,3,2,Low Risk
63,4.7,8,8,8,Low,1,5.2,6.7,1,2,6,Low Risk
36,7.8,5,8,7,Low,6,4.5,7.0,9,10,10,Low Risk
32,9.7,9,7,7,High,0,5.8,3.5,10,6,7,Low Risk
60,7.0,4,10,9,Moderate,1,9.3,7.9,4,1,9,Low Risk
34,6.3,10,6,5,Moderate,7,4.9,6.1,5,2,9,Low Risk
20,6.6,9,1,5,Low,4,6.1,9.5,6,5,7,Low Risk
39,7.7,3,7,7,Moderate,3,9.5,8.2,7,7,7,Low Risk
55,4.4,8,8,2,Low,5,4.4,9.3,7,3,3,Low Risk
26,7.0,3,2,2,Moderate,5,9.1,5.0,4,4,10,Low Risk
39,6.3,4,2,9,Moderate,4,5.5,6.3,9,8,8,Low Risk
23,9.4,3,3,3,Moderate,0,9.1,4.5,9,10,9,Low Risk
49,6.6,7,9,6,Low,4,7.0,5.6,10,5,10,Low Risk
39,9.1,3,6,3,Low,2,6.1,9.5,6,5,4,Low Risk
32,5.3,7,10,3,Low,6,5.4,10.0,1,4,2,Low Risk
27,7.6,6,9,6,Moderate,4,4.3,4.7,9,2,9,Low Risk
44,7.2,8,6,9,High,0,5.7,6.1,1,1,5,Low Risk
49,5.6,10,7,5,Low,7,7.3,6.8,2,9,10,Low Risk
62,7.0,1,4,2,Moderate,2,5.5,8.2,3,1,7,Low Risk
37,8.5,10,1,3,Moderate,2,4.9,3.5,2,9,3,Low Risk
24,6.3,2,4,2,Low,7,5.0,3.8,8,3,4,Low Risk
56,4.4,6,6,9,Low,6,7.5,8.0,5,7,7,Low Risk
47,6.8,4,2,4,Low,6,8.0,3.1,3,10,4,Low Risk
50,5.5,7,3,4,Moderate,5,4.2,6.1,1,8,3,Low Risk
21,6.3,8,1,1,Moderate,7,4.2,7.3,3,8,3,Low Risk
31,6.7,9,8,5,Moderate,0,6.3,7.8,7,3,7,Low Risk
53,4.4,5,9,10,High,4,8.6,6.7,8,6,1,Low Risk
56,4.5,10,9,5,Moderate,2,7.8,6.3,3,7,1,Low Risk
37,7.5,4,4,7,High,3,3.0,8.7,1,5,1,Low Risk
55,6.1,3,6,2,Moderate,1,5.0,7.6,6,1,8,Low Risk
57,3.2,4,10,2,High,1,3.6,5.7,8,10,1,Moderate Risk
35,7.9,6,6,8,High,3,5.0,7.1,1,2,5,Low Risk
60,7.2,7,3,1,Moderate,7,8.7,7.8,8,10,2,Low Risk
30,5.8,9,4,5,High,5,2.7,10.4,2,10,6,Low Risk
28,5.0,3,8,4,High,2,2.3,8.6,3,1,1,Low Risk
49,8.0,4,5,1,Moderate,3,3.8,9.4,7,8,1,Low Risk
47,7.3,10,9,6,Moderate,4,6.1,5.8,1,7,5,Low Risk
23,10.0,5,9,10,Moderate,1,6.7,6.0,4,3,7,Low Risk
56,7.4,3,1,1,High,4,6.4,6.5,2,9,2,Low Risk
26,7.3,10,8,9,Moderate,5,7.9,6.7,3,2,5,Low Risk
55,6.6,5,4,6,High,1,2.0,5.0,8,3,9,Low Risk
17,7.9,10,6,8,Moderate,4,7.9,9.5,3,10,7,Low Risk
55,7.7,10,3,1,High,5,4.9,8.8,1,8,8,Low Risk
54,8.6,10,4,9,Low,4,7.0,6.4,3,2,4,Low Risk
54,6.1,6,4,1,Moderate,2,2.9,8.3,1,2,10,Low Risk
48,6.2,8,1,10,Moderate,4,5.5,7.4,7,3,2,Low Risk
39,6.1,10,8,7,High,6,6.0,8.4,10,1,7,Low Risk
50,7.9,3,2,4,High,1,7.8,4.3,2,2,5,Low Risk
30,8.9,1,4,1,Moderate,4,2.3,6.7,8,6,1,Low Risk
54,6.2,4,2,7,Moderate,5,5.6,6.9,4,1,10,Low Risk
43,6.2,7,2,1,Low,2,3.3,8.2,1,3,8,Low Risk
39,7.2,6,4,7,High,3,6.5,5.7,7,4,3,Low Risk
41,6.5,1,10,8,Low,7,7.1,2.0,3,10,1,Low Risk
44,8.1,6,10,3,Moderate,2,8.1,4.8,6,10,7,Low Risk
18,3.6,2,4,3,Moderate,4,4.4,6.9,6,9,6,Low Risk
23,5.6,6,6,3,Moderate,1,7.4,7.1,6,4,1,Low Risk
28,5.7,6,10,3,Low,7,8.2,10.4,2,6,10,Low Risk
22,3.6,7,3,2,Low,4,2.2,8.2,3,6,8,Low Risk
38,5.5,5,10,3,High,6,6.7,7.2,8,9,5,Low Risk
49,5.5,5,2,7,Moderate,4,7.4,6.9,10,8,3,Low Risk
48,6.5,7,3,4,Low,2,5.0,9.2,1,10,3,Low Risk
39,8.4,8,4,8,Moderate,2,3.1,5.8,5,6,5,Low Risk
58,6.5,9,1,9,Low,5,7.4,6.7,9,10,1,Low Risk
44,5.4,4,9,8,High,6,3.1,4.8,3,8,4,Low Risk
20,6.7,5,9,6,Low,1,5.1,9.8,5,8,3,Low Risk
53,8.3,4,4,4,Low,6,5.4,7.8,10,7,2,Low Risk
44,5.4,6,9,10,Low,6,6.9,5.6,10,4,2,Low Risk
47,5.5,2,8,3,Moderate,0,4.2,6.8,7,7,4,Low Risk
44,7.6,5,9,5,Moderate,0,4.1,8.0,7,4,4,Low Risk
43,6.5,2,9,5,Moderate,5,5.7,6.5,7,7,4,Low Risk
21,7.7,6,6,8,Moderate,6,7.5,5.9,3,3,7,Low Risk
43,6.8,9,2,6,Low,3,10.1,5.7,9,8,6,Low Risk
55,7.8,10,10,8,Low,5,2.5,7.7,1,6,2,Low Risk
31,5.4,5,7,10,Low,7,6.1,6.3,1,8,10,Low Risk
45,6.8,1,10,4,High,2,3.3,6.1,7,3,8,Low Risk
18,6.5,3,10,9,Low,1,7.5,4.3,9,8,5,Low Risk
33,5.1,2,2,2,High,7,3.6,7.2,9,9,1,Low Risk
37,4.6,8,5,10,Low,2,4.2,6.6,7,2,10,Low Risk
64,7.8,10,2,2,Low,3,4.3,6.4,4,4,8,Low Risk
27,6.3,6,1,9,Low,3,5.3,7.4,4,7,5,Low Risk
30,5.4,2,10,4,Low,4,6.1,8.5,5,9,2,Moderate Risk
36,6.7,1,10,10,Moderate,2,6.5,8.4,3,8,2,Low Risk
64,8.4,10,10,2,Moderate,5,5.5,8.1,5,5,3,Low Risk
57,3.6,4,9,5,Low,5,2.8,6.5,2,3,3,Low Risk
18,4.7,2,7,10,Moderate,1,7.0,5.9,4,10,3,Low Risk
28,5.5,2,6,1,Moderate,3,5.4,4.9,10,9,5,Low Risk
56,8.8,3,10,3,High,0,7.8,5.8,8,9,1,Low Risk
19,7.2,7,6,1,High,1,4.1,7.0,2,4,4,Low Risk
58,7.9,9,7,4,Moderate,7,2.3,5.4,3,5,9,Low Risk
30,5.2,3,3,4,High,4,5.4,7.2,3,3,9,Low Risk
61,5.2,7,8,7,Moderate,4,8.1,5.1,3,10,1,Low Risk
31,7.4,1,9,3,Moderate,7,5.8,3.7,7,9,7,Low Risk
37,6.9,1,7,2,Moderate,5,5.1,8.6,9,2,10,Low Risk
48,7.6,1,5,2,Low,6,3.8,6.1,8,3,6,Low Risk
23,6.5,10,2,10,Moderate,5,9.0,5.3,5,6,4,Low Risk
43,7.2,6,1,10,High,3,3.4,4.8,2,5,5,Low Risk
41,7.0,9,7,3,Low,5,4.0,7.8,2,5,3,Low Risk
54,7.9,1,7,2,High,2,6.6,9.7,9,4,4,Low Risk
64,7.9,1,8,1,High,7,1.8,6.2,7,7,10,Low Risk
48,4.5,9,10,10,Low,1,8.0,6.6,6,9,7,Low Risk
36,3.7,2,5,8,Moderate,7,6.7,9.1,6,10,5,Low Risk
36,8.2,2,9,8,High,7,7.3,3.4,9,5,2,Low Risk
37,8.5,6,8,3,High,1,6.6,10.9,9,9,10,Low Risk
56,5.4,7,3,7,Low,5,5.2,11.9,1,7,2,Low Risk
32,4.2,3,9,1,Low,7,3.4,1.6,4,2,8,Low Risk
25,6.9,5,1,7,Moderate,4,5.2,6.8,1,8,4,Low Risk
33,8.1,7,6,6,Low,2,3.5,5.6,4,4,3,Low Risk
18,9.3,5,10,4,Low,7,6.5,6.5,7,7,2,Low Risk
22,7.5,4,7,8,Low,4,7.1,6.2,3,8,4,Low Risk
21,6.3,1,10,7,Low,0,8.5,8.6,2,10,7,Low Risk
54,5.5,5,1,5,Moderate,1,6.2,6.8,5,10,5,Low Risk
51,6.8,9,6,2,Moderate,5,7.3,5.2,6,9,1,Low Risk
50,6.4,7,8,1,Moderate,3,4.9,6.7,8,6,3,Low Risk
39,5.4,9,7,10,Moderate,1,4.5,8.0,1,5,2,Low Risk
51,9.7,2,9,3,Moderate,6,6.4,4.6,3,5,5,Low Risk
24,9.3,1,5,4,Low,0,4.7,3.7,8,10,10,Low Risk
60,8.4,6,7,7,Low,1,6.0,11.0,7,3,10,Low Risk
41,5.5,2,5,3,Low,3,3.4,5.7,9,6,10,Low Risk
62,8.0,6,9,4,Low,0,3.7,6.7,9,7,2,Low Risk
24,7.7,10,2,8,Low,3,6.8,6.2,9,1,5,Low Risk
40,7.4,4,3,6,Low,7,7.3,8.1,6,7,1,Low Risk
50,8.5,6,1,7,Low,7,3.5,10.5,10,3,5,Low Risk
40,7.7,7,8,1,Moderate,6,6.8,8.2,5,3,6,Low Risk
38,7.8,2,3,5,Moderate,2,4.4,4.0,10,7,8,Low Risk
24,7.7,9,4,5,High,0,5.5,4.2,4,1,4,Low Risk
35,7.3,3,9,7,Moderate,6,8.3,6.2,5,2,1,Low Risk
28,4.3,9,4,2,Moderate,2,7.1,6.5,7,5,5,Low Risk
31,6.9,7,2,2,Low,5,7.1,3.6,4,6,5,Low Risk
49,6.0,2,1,8,Moderate,0,9.3,8.6,2,2,7,Low Risk
47,5.0,8,3,7,Low,5,4.1,4.8,9,4,1,Low Risk
46,9.2,2,10,9,Moderate,4,3.5,10.0,5,4,7,Low Risk
34,9.2,6,6,3,Moderate,7,4.1,10.6,10,6,5,Low Risk
63,8.7,10,10,10,Moderate,0,5.0,6.5,4,4,8,Low Risk
21,7.2,10,3,3,Low,3,1.0,7.9,10,1,10,Low Risk
33,8.7,9,4,7,Moderate,7,5.1,4.5,7,6,3,Low Risk
22,6.8,5,2,2,High,3,4.4,8.2,8,9,8,Low Risk
33,7.1,6,4,10,Moderate,5,7.1,6.0,8,6,2,Low Risk
63,5.3,4,6,4,Moderate,1,6.2,4.8,3,4,10,Low Risk
34,7.4,10,9,9,Moderate,5,4.3,6.4,9,5,5,Low Risk
60,6.9,5,4,4,Low,2,6.7,6.1,10,2,8,Low Risk
40,5.0,8,8,8,Moderate,4,6.9,6.3,7,3,8,Low Risk
50,6.7,4,7,5,Moderate,7,4.0,8.9,10,5,7,Low Risk
38,6.7,8,3,1,Low,5,4.5,5.4,9,6,4,Low Risk
29,9.3,3,10,2,Low,3,1.0,10.5,7,5,8,Low Risk
53,8.1,8,5,7,High,1,3.3,4.3,5,10,5,Low Risk
63,6.8,1,2,2,Moderate,2,4.0,10.2,9,7,7,Low Risk
29,7.1,2,10,3,Moderate,6,5.6,5.0,2,1,7,Low Risk
54,6.9,4,10,6,Moderate,1,3.6,7.0,6,6,5,Low Risk
29,6.5,5,1,3,Moderate,5,4.5,6.0,9,6,2,Low Risk
51,5.3,8,10,2,Moderate,3,3.0,6.3,10,1,3,Low Risk
54,6.6,4,10,7,Low,2,5.8,8.6,3,4,10,Low Risk
38,5.8,1,9,7,Moderate,5,6.4,10.0,1,9,6,Low Risk
52,5.0,4,3,8,Moderate,2,6.3,9.4,4,4,7,Low Risk
30,7.5,5,7,10,Low,2,5.5,6.2,9,5,3,Low Risk
20,7.3,6,6,2,Moderate,4,2.4,7.4,6,3,8,Low Risk
21,4.3,7,7,5,Low,6,4.3,5.4,1,1,5,Low Risk
38,6.6,3,7,3,Moderate,6,4.7,5.0,2,4,3,Low Risk
60,8.2,7,7,10,Moderate,5,4.7,4.7,4,8,2,Low Risk
23,8.3,7,6,6,Moderate,5,5.6,6.1,4,10,4,Low Risk
38,8.2,8,7,1,Moderate,6,8.4,7.5,2,7,6,Low Risk
50,6.9,6,6,7,High,2,7.1,3.2,5,9,3,Low Risk
26,5.6,9,1,1,Moderate,2,3.5,6.9,5,7,3,Low Risk
51,5.3,3,1,3,Moderate,3,6.9,10.0,2,7,3,Low Risk
31,7.3,8,10,8,Moderate,5,6.8,9.2,3,5,3,Low Risk
55,7.3,1,10,6,Low,5,3.9,5.8,7,1,8,Low Risk
44,8.6,2,6,8,Low,1,7.2,4.2,10,5,5,Low Risk
43,8.3,9,2,6,Moderate,6,5.2,7.9,10,9,5,Low Risk
25,6.6,5,8,9,Low,2,2.7,2.4,6,6,2,Low Risk
39,5.1,7,2,6,Moderate,7,6.4,9.2,1,8,6,Low Risk
58,6.4,7,4,1,Moderate,5,5.9,6.6,9,1,10,Low Risk
17,7.1,7,4,1,Moderate,7,5.0,10.7,10,3,8,Low Risk
53,6.5,3,1,8,Low,5,5.4,3.5,3,3,5,Low Risk
40,6.0,2,9,1,High,4,4.1,8.8,5,4,4,Low Risk
51,7.2,1,6,4,Moderate,1,6.7,6.8,1,10,4,Low Risk
48,6.1,9,4,1,Moderate,3,5.4,6.3,9,5,1,Low Risk
37,5.9,3,6,4,Low,6,5.8,4.3,8,7,1,Low Risk
31,7.2,6,1,6,Moderate,3,6.2,8.2,1,7,8,Low Risk
47,6.2,5,5,2,Low,0,3.2,8.4,8,5,9,Low Risk
23,7.1,2,6,5,Moderate,1,3.7,10.6,5,10,10,Low Risk
45,7.2,5,4,10,Low,4,1.1,9.0,6,3,7,Low Risk
21,5.2,1,9,1,High,5,6.6,5.8,3,1,10,Low Risk
48,6.1,2,3,1,Low,7,3.1,5.0,9,8,5,Low Risk
47,8.8,2,2,3,Moderate,7,5.8,4.3,5,7,3,Low Risk
21,5.2,9,6,9,Low,4,6.2,9.9,9,3,3,Low Risk
53,3.8,6,9,5,Moderate,4,6.7,5.4,2,9,3,Low Risk
36,4.2,10,4,7,Moderate,6,3.1,10.0,6,2,8,Low Risk
54,6.8,5,1,1,Moderate,0,5.4,8.1,4,3,1,Low Risk
18,6.8,3,10,8,Low,4,8.8,7.7,10,2,10,Low Risk
25,6.6,7,5,1,Low,3,8.9,6.4,6,2,8,Low Risk
40,8.5,10,2,8,Low,6,7.5,8.3,8,8,4,Low Risk
26,3.1,6,7,2,High,6,6.2,7.0,1,8,8,Low Risk
32,7.4,1,4,9,Moderate,5,3.5,6.3,7,7,2,Low Risk
48,9.0,4,10,3,Low,5,6.9,8.4,2,9,5,Low Risk
23,5.2,10,3,2,High,5,5.2,6.7,4,1,2,Low Risk
49,6.3,6,6,4,Low,4,6.6,5.4,3,7,2,Low Risk
21,5.7,10,6,1,Moderate,1,4.2,8.2,1,2,1,Low Risk
25,5.5,6,3,2,Moderate,2,5.2,6.9,6,10,8,Low Risk
45,6.3,1,5,6,High,5,5.8,8.0,3,7,8,Low Risk
55,8.8,9,2,4,Moderate,4,6.0,6.1,6,8,9,Low Risk
25,9.4,8,7,4,Moderate,1,6.5,4.6,8,6,10,Low Risk
31,6.3,8,8,9,High,7,4.3,10.5,2,4,10,Low Risk
61,9.5,10,10,2,Low,7,2.8,10.1,8,7,10,Low Risk
64,6.8,2,4,4,High,5,8.7,8.8,3,9,1,Low Risk
44,9.3,10,3,2,High,1,10.5,6.2,4,2,8,Low Risk
38,6.7,3,6,5,High,7,6.4,6.4,6,9,8,Low Risk
33,7.0,10,7,4,Low,1,2.9,9.8,7,8,2,Low Risk
46,7.3,2,10,1,Low,3,4.0,6.3,7,1,2,Low Risk
45,10.0,6,1,1,Moderate,6,6.5,5.7,2,10,10,Low Risk
31,8.0,8,3,9,Moderate,4,8.2,10.7,6,2,9,Low Risk
18,5.8,1,3,1,Moderate,1,3.1,6.9,3,7,4,Low Risk
24,8.2,1,3,8,High,0,5.3,10.5,3,2,1,Low Risk
63,6.3,9,5,10,Moderate,2,5.9,4.2,10,2,4,Low Risk
37,6.1,1,9,5,Low,5,7.2,8.0,2,7,1,Low Risk
40,8.1,7,1,4,Moderate,5,4.8,11.1,5,7,7,Low Risk
39,6.8,10,9,8,Low,1,2.4,7.1,5,7,4,Low Risk
54,7.2,7,7,10,Low,1,6.7,6.5,3,4,1,Low Risk
20,6.8,5,7,2,Low,5,7.7,4.7,8,9,10,Low Risk
20,7.3,5,7,10,High,1,5.3,9.2,5,1,9,Low Risk
30,7.4,7,2,10,Moderate,0,6.3,5.5,8,9,10,Low Risk
40,4.1,6,8,2,Moderate,3,4.6,6.8,4,4,10,Low Risk
49,7.7,6,3,1,Moderate,4,3.8,4.5,9,7,1,Low Risk
40,5.4,2,6,8,Moderate,1,7.6,10.1,8,10,8,Low Risk
38,4.8,7,7,1,High,1,6.3,9.3,4,3,8,Low Risk
62,6.7,8,7,7,High,1,6.5,6.9,10,5,8,Low Risk
24,6.9,8,4,1,Moderate,2,8.5,4.7,9,9,3,Low Risk
44,5.8,1,4,7,High,0,3.4,10.1,6,9,4,Low Risk
43,8.0,8,5,3,Moderate,0,4.4,6.3,1,3,10,Low Risk
39,4.9,8,1,1,Moderate,2,5.8,4.8,6,6,1,Low Risk
55,6.2,2,8,1,High,0,4.4,3.5,7,4,7,Low Risk
29,6.0,9,1,2,Moderate,2,7.1,5.7,4,6,8,Low Risk
62,6.7,6,5,6,Moderate,4,5.1,4.1,2,4,8,Low Risk
32,7.2,5,7,1,Low,0,3.5,5.8,6,1,6,Low Risk
43,5.4,8,1,9,Moderate,4,5.6,8.5,9,10,8,Low Risk
41,7.8,6,10,7,Moderate,4,5.8,6.2,4,7,10,Low Risk
57,6.9,6,4,3,Moderate,4,7.4,7.7,5,5,8,Low Risk
38,4.2,4,1,10,Moderate,5,6.3,5.6,1,2,2,Low Risk
30,4.1,10,7,7,Low,6,6.4,7.1,8,1,3,Low Risk
18,6.8,10,6,7,High,0,6.1,10.8,9,5,4,Low Risk
34,6.5,2,7,2,Low,1,5.1,6.3,8,7,4,Low Risk
56,6.7,8,8,8,High,2,4.1,7.8,5,3,4,Low Risk
17,6.8,1,5,6,Low,5,6.1,3.9,1,8,3,Low Risk
60,7.1,4,9,10,Moderate,6,4.8,10.0,5,4,7,Low Risk
43,8.1,10,4,5,Moderate,7,8.9,6.0,10,1,2,Low Risk
23,5.2,2,6,7,High,4,8.2,9.1,1,6,8,Low Risk
31,5.2,4,2,4,Low,3,6.8,6.8,3,2,7,Low Risk
43,5.3,3,7,1,High,3,6.3,8.2,9,1,10,Low Risk
32,7.2,8,3,2,Moderate,0,5.3,8.3,6,2,1,Low Risk
22,8.5,5,7,9,Moderate,3,3.0,6.1,2,3,3,Low Risk
48,6.2,6,9,8,Moderate,4,5.1,9.2,1,6,9,Low Risk
49,3.3,10,9,4,Low,1,5.7,5.5,5,10,5,Low Risk
22,4.4,6,10,7,Moderate,6,6.0,8.6,6,3,6,Low Risk
30,5.6,8,2,1,Low,6,6.4,6.2,9,1,1,Low Risk
28,6.0,1,2,1,Low,2,7.3,7.7,9,2,8,Low Risk
48,6.2,3,10,6,Moderate,7,4.1,6.1,5,4,3,Low Risk
52,6.9,10,4,7,Moderate,0,4.1,7.1,5,3,10,Low Risk
51,6.4,9,1,10,Low,7,8.4,4.9,10,4,4,Low Risk
62,8.3,7,3,8,Low,6,7.0,7.5,8,10,2,Low Risk
53,5.9,4,9,3,Low,1,4.7,7.1,3,4,6,Low Risk
32,5.6,2,4,9,Low,5,5.3,5.9,7,7,5,Low Risk
22,7.5,9,1,5,Moderate,2,5.3,6.9,8,7,5,Low Risk
46,4.7,8,8,9,Low,6,5.6,7.3,3,2,10,Low Risk
60,7.3,3,2,2,High,1,6.4,5.8,10,3,4,Low Risk
63,6.9,6,4,1,Low,1,10.6,6.7,3,5,4,Low Risk
28,6.6,7,1,1,Low,2,5.9,5.0,6,5,7,Low Risk
28,9.0,5,7,10,High,1,6.8,11.7,5,1,2,Low Risk
18,5.9,10,5,1,Low,2,2.1,9.1,7,7,9,Low Risk
23,9.7,2,9,10,Moderate,4,4.5,7.5,10,4,3,Low Risk
43,6.5,3,4,8,High,5,8.0,9.3,4,4,3,Low Risk
43,5.0,1,3,2,High,4,6.3,3.0,4,7,1,Low Risk
34,6.9,7,2,9,Moderate,1,1.0,1.9,8,10,4,Low Risk
31,5.3,7,3,2,Low,1,6.8,6.2,10,9,6,Low Risk
56,5.7,10,5,2,Moderate,7,9.3,4.2,10,10,8,Low Risk
39,7.4,6,1,6,High,2,1.5,6.5,8,5,9,Low Risk
55,7.6,2,5,3,High,0,8.5,7.4,8,2,8,Low Risk
63,5.9,5,9,3,Low,3,1.0,8.8,8,3,4,Low Risk
32,8.2,1,8,2,Moderate,0,7.4,4.7,10,4,9,Low Risk
26,8.4,7,7,7,Low,2,5.5,7.8,1,4,2,Low Risk
62,8.8,7,9,1,Low,6,1.0,7.0,6,3,3,Low Risk
47,7.5,9,8,3,Moderate,2,6.4,7.7,1,2,4,Low Risk
30,8.7,4,7,6,Low,5,7.8,6.0,6,2,6,Low Risk
46,4.2,4,9,5,Low,3,6.2,9.8,4,7,3,Low Risk
41,6.4,1,2,7,Low,2,6.7,6.8,4,5,10,Low Risk
60,5.6,5,9,3,Moderate,5,4.7,10.5,9,1,3,Low Risk
29,7.0,5,3,7,Low,4,1.8,5.4,8,6,4,Low Risk
64,6.0,8,8,8,Moderate,2,6.9,8.5,6,9,7,Low Risk
61,6.6,8,10,4,Low,1,9.0,6.9,9,5,5,Low Risk
25,9.4,2,5,3,High,7,7.8,6.3,1,4,5,Low Risk
24,6.6,3,1,6,Low,1,1.5,8.3,7,3,10,Low Risk
42,7.4,6,4,6,Moderate,7,2.5,6.4,2,4,5,Low Risk
19,6.5,4,5,1,Low,3,3.8,1.7,3,3,2,Low Risk
31,6.9,1,10,6,Low,7,2.3,1.0,2,10,8,Low Risk
37,6.8,9,10,2,Low,2,5.6,9.5,6,10,8,Low Risk
63,7.4,8,6,6,Low,4,6.3,9.5,7,4,3,Low Risk
64,8.4,6,10,10,Low,4,2.6,10.8,8,10,9,Low Risk
24,9.1,4,5,6,Moderate,2,7.1,7.0,5,9,4,Low Risk
59,7.2,9,5,8,Moderate,1,6.7,4.4,10,1,2,Low Risk
21,7.6,1,9,4,Low,4,4.4,6.2,4,5,2,Low Risk
52,5.2,5,7,10,Moderate,5,5.2,7.0,2,7,8,Low Risk
57,6.7,9,6,9,Moderate,2,1.6,5.0,1,5,3,Low Risk
59,8.1,10,5,10,Low,6,4.8,10.3,2,5,5,Low Risk
27,8.0,3,8,8,Moderate,5,5.5,11.5,5,5,8,Low Risk
59,7.1,7,8,7,Low,1,5.8,8.0,5,7,9,Low Risk
22,8.0,2,5,6,Low,7,6.3,7.0,9,3,5,Low Risk
41,7.5,2,1,10,Moderate,0,6.0,4.4,2,6,10,Low Risk
39,8.5,4,2,9,High,5,5.0,10.1,3,3,4,Low Risk
